21283613-4001-3c8f-9ed8-60d1ec049730,FTV,2022-9-20,Datamaran Secures £11.7 Million Series B Investment to Deliver on Rising Demand for Strategic ESG Insight,PR Newswire,https://finance.yahoo.com/news/datamaran-secures-11-7-million-120000558.html,1663675200,STORY
6c2a1683-4c80-36fc-9a08-1980b8aa84a4,FTV,2022-9-20,Fortive to Present at the Morgan Stanley Laguna Conference,Business Wire,https://finance.yahoo.com/news/fortive-present-morgan-stanley-laguna-201500124.html,1662668100,STORY
28b0d3cd-4a3f-39c4-b965-483ffa1c3ac9,FTV,2022-9-20,This Large-Cap Growth Stock Is Turning Into a No-Brainer,Motley Fool,https://finance.yahoo.com/m/28b0d3cd-4a3f-39c4-b965-483ffa1c3ac9/this-large-cap-growth-stock.html,1662562380,STORY
fd7f1872-c4f3-3896-b01c-6fb55a70a58a,FTV,2022-9-20,Is There An Opportunity With Fortive Corporation's (NYSE:FTV) 36% Undervaluation?,Simply Wall St.,https://finance.yahoo.com/news/opportunity-fortive-corporations-nyse-ftv-134215140.html,1662212535,STORY
4b4600e3-bacd-3e73-8bdb-57d458617556,FTV,2022-9-20,Fortive to Present at the Evercore ISI Technology Conference,Business Wire,https://finance.yahoo.com/news/fortive-present-evercore-isi-technology-201500776.html,1661976900,STORY
a8dcbb54-c09e-326c-93c3-29acf99160fa,FTV,2022-9-20,Fortive Corporation (FTV) Expects Strong Growth,Insider Monkey,https://finance.yahoo.com/news/fortive-corporation-ftv-expects-strong-182802633.html,1661192882,STORY
dcc83735-539c-3c97-bb15-654af51dfd1f,FTV,2022-9-20,When Should You Buy Fortive Corporation (NYSE:FTV)?,Simply Wall St.,https://finance.yahoo.com/news/buy-fortive-corporation-nyse-ftv-131911189.html,1661001551,STORY
895ca4cc-3ba4-35ec-9d72-08205ac51f69,FTV,2022-9-20,"Zacks Industry Outlook Highlights AMETEK, Fortive and National Instruments",Zacks,https://finance.yahoo.com/news/zacks-industry-outlook-highlights-ametek-090009989.html,1660899609,STORY
21283613-4001-3c8f-9ed8-60d1ec049730,FTV,2022-9-22,Datamaran Secures £11.7 Million Series B Investment to Deliver on Rising Demand for Strategic ESG Insight,PR Newswire,https://finance.yahoo.com/news/datamaran-secures-11-7-million-120000558.html,1663675200,STORY
6c2a1683-4c80-36fc-9a08-1980b8aa84a4,FTV,2022-9-22,Fortive to Present at the Morgan Stanley Laguna Conference,Business Wire,https://finance.yahoo.com/news/fortive-present-morgan-stanley-laguna-201500124.html,1662668100,STORY
