3d7ece68-5117-337e-b50b-b40ae6905f74,FISV,2022-9-20,Equifax Launches I-9 Management Solution in the Clover® App Market,PR Newswire,https://finance.yahoo.com/news/equifax-launches-9-management-solution-114500937.html,1663674300,STORY,RelatedCompany,Text
7e92435a-240e-32f4-be2e-7d16f095aadc,FISV,2022-9-20,"Block faces ‘potentially growing headwinds’ to Square and Afterpay businesses, says analyst",MarketWatch,https://finance.yahoo.com/m/7e92435a-240e-32f4-be2e-7d16f095aadc/block-faces-%E2%80%98potentially.html,1663197240,STORY,['FISV'],[]
1b2102e8-e0e5-3662-a163-56fd12adcd0e,FISV,2022-9-20,Clover Sport to Power New Commerce Experiences in the Big Easy,Business Wire,https://finance.yahoo.com/news/clover-sport-power-commerce-experiences-120000912.html,1663156800,STORY,['FISV'],"[Caesars Superdome, Smoothie King Center, and Champions Square will utilize more than 1000 Clover devices, enable new commerce experiences, and gain access to robust data intelligenceBROOKFIELD, Wis., September 14, 2022--(BUSINESS WIRE)--ASM Global (ASM) has chosen Clover® Sport from Fiserv, Inc. (NASDAQ: FISV), a leading global provider of payments and financial services technology, to enhance fan experiences and optimize food and beverage operations at the Caesars Superdome, the Smoothie King Center, and throughout Champions Square in New Orleans.The three facilities are located on a 52-acre sports and entertainment campus in downtown New Orleans. Collectively managed by ASM, they combine to attract more than two million annual guests and host more than 300 events each year. ASM, the world's leading venue management company and producer of live event experiences, and the Louisiana State Exhibition Authority selected Clover as part of an ongoing, multi-year renovation to modernize infrastructure and operations on the campus.""Clover Sport provides us with the single technology solution we need to manage the complexities of multiple food and beverage events across three separate facilities as one enterprise,"" said Doug Thornton, Executive Vice President at ASM Global. ""The technology enhancement will help create a better experience for fans attending events at our New Orleans venues, while also simplifying operations for our overall organization.""Beginning with the 2022 National Football League (NFL) and National Basketball Association (NBA) seasons, Clover Sport will streamline purchasing at concession stands, premium bars and clubs throughout each venue. The technology upgrades will enable digital, contactless, and self-service purchasing at kiosks and grab-and-go marketplaces, while third-party integrations will provide fans access to mobile ordering, loyalty, and stored value payment options as a seamless part of the commerce experience.Story continuesClover Sport also includes real-time data insights, which provide a 360-degree view into how fans are engaging during an event. This allows stadium operators to better curate the ideal fan experience by optimizing food and beverage operations, and even proactively adjusting staffing levels based on the flow of fans, commerce and inventory throughout each venue.""Consumers expect digital, mobile, and self-service purchasing options, and sporting and event venue operators have a timely opportunity to build a more engaging fan experience while also modernizing their own operations,"" said Sandeep Bhanote, Head of Clover Sport at Fiserv. ""Whether attending an NFL or NBA game, the college football playoffs, or the Super Bowl, Clover Sport will help fans in New Orleans get through lines quicker, and spend more time watching the game.""The Caesars Superdome and the Smoothie King Center join a growing list of more than 300 sports and entertainment venues powering their operations with Clover Sport.Additional Resources:More on Clover SportClover Sport VideoAbout FiservFiserv, Inc. (NASDAQ: FISV) aspires to move money and information in a way that moves the world. As a global leader in payments and financial technology, the company helps clients achieve best-in-class results through a commitment to innovation and excellence in areas including account processing and digital banking solutions; card issuer processing and network services; payments; e-commerce; merchant acquiring and processing; and the Clover® cloud-based point-of-sale and business management platform. Fiserv is a member of the S&amp;P 500® Index, the FORTUNE® 500, and has been recognized as one of FORTUNE World’s Most Admired Companies® for 11 of the past 14 years and named among the World’s Most Innovative Companies by Fast Company for two consecutive years. Visit fiserv.com and follow on social media for more information and the latest company news.FISV-GView source version on businesswire.com: https://www.businesswire.com/news/home/20220914005340/en/ContactsMedia Relations: Chase WallaceDirector, CommunicationsFiserv, Inc.+1 470-481-2555chase.wallace@fiserv.comAdditional Contact: Ann S. Cave Vice President, External CommunicationsFiserv, Inc.+1 678-325-9435ann.cave@fiserv.com]"
3bcad7a8-53ea-3c57-b85f-0b9ebcde44b1,FISV,2022-9-20,Medpace Gets Promotion On This Bullish Chart Action,Investor's Business Daily,https://finance.yahoo.com/m/3bcad7a8-53ea-3c57-b85f-0b9ebcde44b1/medpace-gets-promotion-on.html,1663023629,STORY,['FISV'],"[Fidelity Contrafund boosted its Cintas stake to 130,000 shares during the third quarter of last year.Continue reading]"
8b9f977b-7115-3aa6-a498-8f09e91d0495,FISV,2022-9-20,Fiserv to Present at Goldman Sachs Communacopia + Technology Conference,Business Wire,https://finance.yahoo.com/news/fiserv-present-goldman-sachs-communacopia-130900944.html,1662642540,STORY,"['FISV', 'GS']","[BROOKFIELD, Wis., September 08, 2022--(BUSINESS WIRE)--Fiserv, Inc. (NASDAQ: FISV), a leading global provider of payments and financial services technology solutions, announced today that Frank Bisignano, Chairman, President and Chief Executive Officer, will present at the Goldman Sachs Communacopia + Technology Conference on Monday, September 12, at 5 p.m. ET.A live webcast and archived replay of the presentation will be available on the investor relations section of the Fiserv website at investors.fiserv.com.About FiservFiserv, Inc. (NASDAQ: FISV) aspires to move money and information in a way that moves the world. As a global leader in payments and financial technology, the company helps clients achieve best-in-class results through a commitment to innovation and excellence in areas including account processing and digital banking solutions; card issuer processing and network services; payments; e-commerce; merchant acquiring and processing; and the Clover® cloud-based point-of-sale and business management platform. Fiserv is a member of the S&amp;P 500® Index, the FORTUNE® 500, and has been recognized as one of FORTUNE World's Most Admired Companies® for 11 of the past 14 years and named among the World’s Most Innovative Companies by Fast Company for two consecutive years. Visit fiserv.com and follow on social media for more information and the latest company news.FISV-GView source version on businesswire.com: https://www.businesswire.com/news/home/20220908005703/en/ContactsMedia Relations: Ann S. CaveExternal CommunicationsFiserv, Inc.678-325-9435ann.cave@fiserv.comInvestor Relations: Julie Chariell Investor RelationsFiserv, Inc.julie.chariell@fiserv.com]"
96087f4b-c32e-3f49-b83f-ac8cfda3c9b4,FISV,2022-9-20,"Fiserv Stock Clears Technical Benchmark, Hitting 80-Plus RS Rating",Investor's Business Daily,https://finance.yahoo.com/m/96087f4b-c32e-3f49-b83f-ac8cfda3c9b4/fiserv-stock-clears-technical.html,1662562800,STORY,['FISV'],"[Fiserv now meets that criteria, with a jump from 75 to 87 Wednesday. Fiserv is not currently offering a proper buying opportunity. Fiserv reported 14% earnings growth in the latest quarterly report, while sales growth came in at 10%.Continue reading]"
066a6d1b-bfaa-331f-b9b4-57bd924c109c,FISV,2022-9-20,Here's Why Investors Should Retain Fiserv (FISV) Stock Now,Zacks,https://finance.yahoo.com/news/heres-why-investors-retain-fiserv-171705616.html,1662139025,STORY,"['FISV', 'G', 'CRAI', 'CAR']","[Fiserv, Inc. FISV shares have gained 4.9% over the past six months against a 6.6% decline in the industry it belongs to.The company has an expected long-term earnings per share (three to five years) growth rate of 13.4%. Its earnings are expected to increase 16.3% in 2022 and 13.2% in 2023.Fiserv, Inc. Price  Fiserv, Inc. PriceFiserv, Inc. price | Fiserv, Inc. QuoteFactors That Augur WellFiserv’s diversified product portfolio continues to attract a steady flow of customers. The rapidly changing financial services industry and increasing demand for digital banking and payment services provide significant growth opportunities for Fiserv. Backed by such strong demand, the company expects to witness more client additions moving ahead.Fiserv continues to expand its product portfolio through strategic acquisitions. The recent acquisition of Finxact expands Fiserv’s account processing, digital and payments solutions. It is helping FISV to better serve clients trying to accelerate and expand the digital banking experiences of their customers.Fiserv has been consistent with share repurchases. In 2021, it repurchased 23.3 million shares for $2.57 billion. In 2020, it bought back 16.1 million shares for $1.64 billion. In 2019, the company repurchased 4.2 million shares for $394 million. Such moves instill investors’ confidence and positively impact earnings per share.Some RisksFiserv has more long-term debt outstanding than cash. Cash and cash equivalent balance at the end of second-quarter 2022 was $883 million compared with the long-term debt level of $20.9 billion.Zacks Rank and Stocks to ConsiderFiserv currently carries a Zacks Rank #3 (Hold).Investors interested in the broader Zacks Business Services sector can consider stocks like Avis Budget Group, Inc. CAR, Genpact Limited G and CRA International, Inc. CRAI.Avis Budget sports a Zacks Rank #1 (Strong Buy) at present. CAR has an earnings growth rate of 108.4% for 2022. You can see the complete list of today’s Zacks #1 Rank stocks here.Story continuesAvis Budget delivered a trailing four-quarter earnings surprise of 69.5%, on average.Genpact carries a Zacks Rank #2 (Buy) at present. G has a long-term earnings growth expectation of 12.1%.Genpact delivered a trailing four-quarter earnings surprise of 10.1%, on average.CRA International flaunts a Zacks Rank of 1, currently. CRAI has a long-term earnings growth expectation of 14.3%.CRAI delivered a trailing four-quarter earnings surprise of 26%, on average.Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free report Charles River Associates (CRAI) : Free Stock Analysis Report Avis Budget Group, Inc. (CAR) : Free Stock Analysis Report Fiserv, Inc. (FISV) : Free Stock Analysis Report Genpact Limited (G) : Free Stock Analysis Report To read this article on Zacks.com click here. Zacks Investment Research]"
743d9efc-1b46-3db0-b15d-1edffc9d08b8,FISV,2022-9-20,Indian Oil Corporation Limited Enhances Customer Payment Experience with Fiserv,Business Wire,https://finance.yahoo.com/news/indian-oil-corporation-limited-enhances-060000253.html,1662012000,STORY,"['IOC.NS', 'FISV']","[MUMBAI, India, September 01, 2022--(BUSINESS WIRE)--Indian Oil Corporation Limited, India’s flagship national energy major, has collaborated with Fiserv, Inc. (NASDAQ: FISV), a leading global provider of payments and financial services technology solutions, to enhance customer payment experiences and streamline its operations. IndianOil customers can now pay with their choice of multiple payment platforms through smart POS terminals deployed at over 15,000 IndianOil retail fuel outlets across the country, seamlessly redeem loyalty points, and reduce their wait time at the fuel outlet.Through the Carat operating system from Fiserv, IndianOil has access to a cloud-based platform that enables the processing of debit cards, credit cards, FASTag-enabled payments, QR payments, Unified Payments Interface (UPI) instant real-time payments, and digital wallets. IndianOil outlets nationwide are seamlessly connected with Fiserv for acceptance of digital payments and IndianOil loyalty schemes, XTRAREWARDS and XTRAPOWER, enabling customers to redeem loyalty points for fuel purchases. This integration will benefit IndianOil with advanced analytics and reporting, and efficient and precise reconciliation.Shri Sandeep Makker, Executive Director (Retail Transformation), IndianOil, said, ""As one of the largest fuel retailers in the country, we aim to offer a world-class experience to customers at our retail outlets. The partnership with Fiserv will amplify our variety of payment solutions. We are confident that this partnership will further accelerate the use of digital payments at IndianOil retail outlets through an enhanced payment experience.""Speaking on this partnership, Kunal Gothivarekar, Head of Merchant Acceptance at Fiserv in India, said, ""Fiserv is committed to providing an enhanced payment experience for IndianOil at each of their outlets. Our innovative transaction processing system has been specifically designed to connect and integrate seamlessly with IndianOil systems, facilitating centralised reporting and analytics for better business management, while their customers benefit from a fast and convenient checkout experience. We intend to build on this partnership through the introduction of additional innovations.""Story continuesCarat from Fiserv is the unified, simple, global operating system that enables payments anywhere and anytime, optimizes commerce across channels, and delivers embedded finance in ways that create new customer experiences. Shifting consumer habits and rapid adoption of new technologies are transforming how consumers engage with businesses. Carat helps businesses lean into this transformation and build more engaging experiences by connecting commerce across digital and physical settings.About Indian Oil Corporation LimitedIndianOil is a diversified, integrated energy major with presence in almost all the streams of oil, gas, petrochemicals, and alternative energy sources. With a net profit of Rs. 24,184 crores for the fiscal 2021-22, IndianOil is one of the largest and most trusted corporates in the country, touching the lives of over a billion Indians. With a 33,500-plus workforce, extensive refining, distribution &amp; marketing infrastructure, and advanced R&amp;D facilities, IndianOil has provided energy access to millions of people across the length and breadth of the country through its ever-expanding network of customer touchpoints, currently numbering over 50,000.About FiservFiserv, Inc. (NASDAQ: FISV) aspires to move money and information in a way that moves the world. As a global leader in payments and financial technology, the company helps clients achieve best-in-class results through a commitment to innovation and excellence in areas including account processing and digital banking solutions; card issuer processing and network services; payments; e-commerce; merchant acquiring and processing; and the Clover® cloud- based point-of-sale and business management platform. Fiserv is a member of the S&amp;P 500® Index, the FORTUNE® 500, and has been recognized as one of FORTUNE World's Most Admired Companies® for 11 of the past 14 years and named among the World’s Most Innovative Companies by Fast Company for two consecutive years.Visit fiserv.com and follow on social media for more information and the latest company news.FISV-GView source version on businesswire.com: https://www.businesswire.com/news/home/20220831005875/en/ContactsMedia Relations: Amit GidwaniDirector, Marketing &amp; Communications Fiserv, Inc.+ 91 98200 45638amit.gidwani@fiserv.com Additional Contact: Deepanshu ShuklaAccount ManagerRuder Finn India+91 8888887892shuklad@ruderfinnasia.com]"
d188cced-df92-3a6f-824a-66138243fe09,FISV,2022-9-22,"UPDATE 3-Sabadell in talks with Worldline, Nexi and Fiserv for payments deal -sources",Reuters,https://finance.yahoo.com/news/rpt-2-sabadell-talks-worldline-060000451.html,1663826400,STORY,"['FISV', 'SAB.MC']","[*Received bids valuing unit at up to 400 mln euros, sources say*Spanish banks to shortlist final bidders in October, sources say*Shares rise 5% following the news, favourable rates environment(Adds confirmation from bank that it is analyzing agreement with industrial partner, updates share price)By Pamela Barbaglia, Jesús Aguado and Andres GonzalezLONDON/MADRID, Sept 22 (Reuters) - Spanish bank Sabadell has received indicative bids from France's Worldline , Italy's Nexi and U.S. firm Fiserv for its payments arm, with a deal valued at up to 400 million euros ($394 million), three sources said.Sabadell received the non-binding offers last week and is expected to shortlist a group of final bidders in early October, the sources said, speaking on condition of anonymity.The Spanish lender will review the offers at a board meeting in late September and then move to the final stages of the auction, allowing bidders to carry out due diligence on the unit, the sources said.Worldline, Nexi and Fiserv declined to comment.Sabadell, which declined to comment on the names or offers, confirmed on Thursday evening in a statement it ""is in the process of analyzing a possible strategic agreement with an industrial partner specializing in the bank's acquisition business (payments unit)"".The sale, which is being handled by Barclays, has only addressed industry players including U.S. giant PayPal and rival firms Fidelity National Information Services Inc (FIS) and Network International, while private equity funds were not invited to bid, two of the sources said.PayPal, FIS and Network International were not immediately available for comment.Shares in Sabadell closed 5% up on Thursday, leading gainers on Spain's blue-chip index Ibex-35, which fell 1.24%.""Sabadell's better share performance relative to other Spanish banks is explained partly by reports of bids for its payments unit, now pointing to a higher price than previously expected,"" said Nuria Alvarez, analyst at Madrid-based brokerage Renta 4.Story continuesEarlier this year, press reports pointed to a price tag of 250 million to 350 million euros for the unit.The analyst added that the general context for banks was favourable because of rate hikes in the euro zone and the UK.Sabadell is also present in the UK through its British unit TSB.In Spain, Sabadell has a strong presence on the payments front and accounts for close to 16.3% of the country's overall revenue generated at the point of sale (POS).Its payments arm, which is mainly focused on consumer lending, has core earnings of about 25-30 million euros, one of the sources said.The business reported sales of 21.6 billion euros in the first half of 2022 compared to 15.4 billion euros in the same period last year and is a source of stable and profitable income for the bank as payments transactions tend to carry a higher interest than mortgages.The sale is expected to be finalized in December and will result in the winner striking a long-term partnership with Sabadell, which will retain an exclusive right to commercialize loans or financial transactions.($1 = 1.0162 euros) (Reporting by Pamela Barbaglia, Jesus Aguado and Andres Gonzalez; additional reporting by Valentina Za, Julien Ponthus and David French; editing by Deepa Babington, Mark Potter and Richard Pullin)]"
333afe53-d8bf-3bed-8adf-99a6f62d27ca,FISV,2022-9-22,"Sabadell in talks with Worldline, Nexi and Fiserv for payments deal -sources",Reuters,https://finance.yahoo.com/news/sabadell-talks-worldline-nexi-fiserv-211658268.html,1663795018,STORY,"['FISV', 'SAB.MC', 'WRDLY']","[By Pamela Barbaglia, Jesús Aguado and Andres GonzalezLONDON/MADRID (Reuters) -Spanish bank Sabadell has received indicative bids from France's Worldline, Italy's Nexi and U.S. firm Fiserv for its payments arm, with a deal valued at up to 400 million euros ($394 million), three sources said.Sabadell received the non-binding offers last week and is expected to shortlist a group of final bidders in early October, the sources said, speaking on condition of anonymity.The Spanish lender will review the offers at a board meeting in late September and then move to the final stages of the auction, allowing bidders to carry out due diligence on the unit, the sources said.Worldline, Nexi and Fiserv declined to comment.Sabadell, which declined to comment on the names or offers, confirmed on Thursday evening in a statement it ""is in the process of analyzing a possible strategic agreement with an industrial partner specializing in the bank's acquisition business (payments unit)"".The sale, which is being handled by Barclays, has only addressed industry players including U.S. giant PayPal and rival firms Fidelity National Information Services Inc (FIS) and Network International, while private equity funds were not invited to bid, two of the sources said.PayPal, FIS and Network International were not immediately available for comment.Shares in Sabadell closed 5% up on Thursday, leading gainers on Spain's blue-chip index Ibex-35, which fell 1.24%.""Sabadell's better share performance relative to other Spanish banks is explained partly by reports of bids for its payments unit, now pointing to a higher price than previously expected,"" said Nuria Alvarez, analyst at Madrid-based brokerage Renta 4.Earlier this year, press reports pointed to a price tag of 250 million to 350 million euros for the unit.The analyst added that the general context for banks was favourable because of rate hikes in the euro zone and the UK.Story continuesSabadell is also present in the UK through its British unit TSB.In Spain, Sabadell has a strong presence on the payments front and accounts for close to 16.3% of the country's overall revenue generated at the point of sale (POS).Its payments arm, which is mainly focused on consumer lending, has core earnings of about 25-30 million euros, one of the sources said.The business reported sales of 21.6 billion euros in the first half of 2022 compared to 15.4 billion euros in the same period last year and is a source of stable and profitable income for the bank as payments transactions tend to carry a higher interest than mortgages.The sale is expected to be finalized in December and will result in the winner striking a long-term partnership with Sabadell, which will retain an exclusive right to commercialize loans or financial transactions.($1 = 1.0162 euros)(Reporting by Pamela Barbaglia, Jesus Aguado and Andres Gonzalez; additional reporting by Valentina Za, Julien Ponthus and David French; editing by Deepa Babington, Mark Potter and Richard Pullin)]"
